date,tx_count,start_block,end_block
1/1/2025,747009,21528281,21535449
1/2/2025,1072931,21535450,21542621
1/3/2025,1168022,21542622,21549778
1/4/2025,1178254,21549779,21556945
1/5/2025,1154632,21556946,21564090
1/6/2025,1267479,21564091,21571259
1/7/2025,1101054,21571260,21578418
1/8/2025,1288091,21578419,21585590
1/9/2025,1635175,21585591,21592743
1/10/2025,921161,21592744,21599906
1/11/2025,1195622,21599907,21607074
1/12/2025,1425674,21607075,21614231
1/13/2025,978804,21614232,21621386
1/14/2025,1442426,21621387,21628548
1/15/2025,1323907,21628549,21635712
1/16/2025,1507936,21635713,21642879
1/17/2025,1322059,21642880,21650033
1/18/2025,1390398,21650034,21657200
1/19/2025,1586773,21657201,21664367
1/20/2025,1843498,21664368,21671529
1/21/2025,1223098,21671530,21678690
1/22/2025,1494410,21678691,21685854
1/23/2025,1593174,21685855,21693024
1/24/2025,1294708,21693025,21700185
1/25/2025,1438903,21700186,21707358
1/26/2025,1020580,21707359,21714525
1/27/2025,1393919,21714526,21721688
1/28/2025,1515902,21721689,21728852
1/29/2025,1367654,21728853,21736020
1/30/2025,1238161,21736021,21743177
1/31/2025,1152116,21743178,21750333
2/1/2025,1002680,21750334,21757495
2/2/2025,1277883,21757496,21764650
2/3/2025,1484962,21764651,21771803
2/4/2025,1350675,21771804,21778957
2/5/2025,1579606,21778958,21786124
2/6/2025,1658628,21786125,21793298
2/7/2025,1253350,21793299,21800460
2/8/2025,1150056,21800461,21807621
2/9/2025,1493784,21807622,21814782
2/10/2025,2225449,21814783,21821947
2/11/2025,1217231,21821948,21829082
2/12/2025,1832490,21829083,21836229
2/13/2025,1369643,21836230,21843370
2/14/2025,1245072,21843371,21850501
2/15/2025,1531094,21850502,21857629
2/16/2025,1355172,21857630,21864769
2/17/2025,1617256,21864770,21871925
2/18/2025,1494977,21871926,21879078
2/19/2025,1382925,21879079,21886236
2/20/2025,1214480,21886237,21893380
2/21/2025,1423805,21893381,21900542
2/22/2025,1341340,21900543,21907692
2/23/2025,1344272,21907693,21914850
2/24/2025,1705273,21914851,21922009
2/25/2025,1473733,21922010,21929170
2/26/2025,1419706,21929171,21936333
2/27/2025,1365929,21936334,21943507
2/28/2025,1456119,21943508,21950680
3/1/2025,1088102,21950681,21957848
3/2/2025,1105104,21957849,21965024
3/3/2025,1645313,21965025,21972190
3/4/2025,1704318,21972191,21979351
3/5/2025,1253700,21979352,21986515
3/6/2025,1450628,21986516,21993668
3/7/2025,1156409,21993669,22000824
3/8/2025,1097730,22000825,22007980
3/9/2025,1094856,22007981,22014840
3/10/2025,1490295,22014841,22021998
3/11/2025,1348190,22021999,22029154
3/12/2025,1796909,22029155,22036313
3/13/2025,988301,22036314,22043485
3/14/2025,1345516,22043486,22050642
3/15/2025,1122508,22050643,22057810
3/16/2025,1180956,22057811,22064976
3/17/2025,1306868,22064977,22072133
3/18/2025,1107129,22072134,22079285
3/19/2025,1456758,22079286,22086440
3/20/2025,976009,22086441,22093606
3/21/2025,1360270,22093607,22100788
3/22/2025,1284864,22100789,22107958
3/23/2025,1124256,22107959,22115128
3/24/2025,1248180,22115129,22122285
3/25/2025,1605806,22122286,22129441
3/26/2025,1183380,22129442,22136613
3/27/2025,1459201,22136614,22143780
3/28/2025,1628478,22143781,22150935
3/29/2025,1057804,22150936,22158092
3/30/2025,886212,22158093,22165262
3/31/2025,1062840,22165263,22172424
4/1/2025,1192588,22172425,22179591
4/2/2025,1815611,22179592,22186756
4/3/2025,1429934,22186757,22193920
4/4/2025,1218461,22193921,22201079
4/5/2025,1131596,22201080,22208241
4/6/2025,1154817,22208242,22215396
4/7/2025,1288430,22215397,22222546
4/8/2025,1189556,22222547,22229712
4/9/2025,1573636,22229713,22236891
4/10/2025,1305122,22236892,22244062
4/11/2025,1615725,22244063,22251243
4/12/2025,1692356,22251244,22258414
4/13/2025,1100129,22258415,22265595
4/14/2025,1263024,22265596,22272755
4/15/2025,1526145,22272756,22279920
4/16/2025,1313144,22279921,22287080
4/17/2025,1297059,22287081,22294254
4/18/2025,1044365,22294255,22301417
4/19/2025,1131596,22301418,22308579
4/20/2025,1667313,22308580,22315741
4/21/2025,1642447,22315742,22322907
4/22/2025,1656085,22322908,22330070
4/23/2025,1336674,22330071,22337241
4/24/2025,1541047,22337242,22344402
4/25/2025,892321,22344403,22351575
4/26/2025,1152786,22351576,22358753
4/27/2025,1287733,22358754,22365931
4/28/2025,1686677,22365932,22373084
4/29/2025,1090784,22373085,22380232
4/30/2025,1193306,22380233,22387369
5/1/2025,1479384,22387370,22394502
5/2/2025,1181422,22394503,22401619
5/3/2025,990252,22401620,22408774
5/4/2025,1058537,22408775,22415907
5/5/2025,1803890,22415908,22423037
5/6/2025,1631572,22423038,22430168
5/7/2025,1164168,22430169,22437198
5/8/2025,1448799,22437199,22444293
5/9/2025,2071206,22444294,22451368
5/10/2025,1396843,22451369,22458473
5/11/2025,1224169,22458474,22465582
5/12/2025,1495415,22465583,22472676
5/13/2025,2054501,22472677,22479785
5/14/2025,1783606,22479786,22486891
5/15/2025,1554675,22486892,22494016
5/16/2025,1315720,22494017,22501128
5/17/2025,1406080,22501129,22508251
5/18/2025,1434757,22508252,22515382
5/19/2025,1206975,22515383,22522507
5/20/2025,1191044,22522508,22529639
5/21/2025,1596951,22529640,22536781
5/22/2025,1604823,22536782,22543939
5/23/2025,2340164,22543940,22551078
5/24/2025,1305156,22551079,22558210
5/25/2025,1240620,22558211,22565340
5/26/2025,1746762,22565341,22572493
5/27/2025,1997462,22572494,22579637
5/28/2025,1302700,22579638,22586779
5/29/2025,1276810,22586780,22593920
5/30/2025,1675206,22593921,22601079
5/31/2025,1701462,22601080,22608222
6/1/2025,1186734,22608223,22615371
6/2/2025,1821257,22615372,22622502
6/3/2025,1381186,22622503,22629651
6/4/2025,1260041,22629652,22636786
6/5/2025,1812132,22636787,22643926
6/6/2025,1575860,22643927,22651076
6/7/2025,1451021,22651077,22658238
6/8/2025,1410177,22658239,22665389
6/9/2025,1813560,22665390,22672529
6/10/2025,1574540,22672530,22679686
6/11/2025,1223782,22679687,22686851
6/12/2025,1570798,22686852,22694004
6/13/2025,1791612,22694005,22701159
6/14/2025,1366605,22701160,22708314
6/15/2025,1071150,22708315,22715455
6/16/2025,1465743,22715456,22722598
